name,age,gender,profession,morality,brutishness,mercantileAbility,craftingAbility,cleverness,lawfulness
Ann,85,Female,Craftsman,43,19,89,49,39,97
Joyce,50,Female,Merchant,37,70,96,18,32,11
Diane,15,Female,Scavenger,80,83,40,37,15,83
Alice,64,Female,Panhandler,74,30,49,88,86,87
Julie,20,Female,Scavenger,25,16,84,93,95,40
Heather,69,Female,Adventurer,49,49,81,59,39,3
Teresa,53,Female,Farmer,76,6,31,100,26,85
Doris,33,Female,Farmer,89,62,6,96,59,42
Gloria,49,Female,Miner,95,59,49,57,86,52
Evelyn,74,Female,Mercenary,29,43,31,10,58,61
Jean,44,Female,Scavenger,26,41,19,75,15,83
Cheryl,32,Female,Merchant,76,8,30,20,79,90
Virginia,37,Female,Merchant,21,6,3,65,48,58
Kathleen,43,Female,Farmer,83,68,24,73,75,56
Pamela,75,Female,Panhandler,89,43,29,71,79,43
Martha,89,Female,Craftsman,49,75,6,15,21,71
Debra,98,Female,Scavenger,82,2,46,69,86,65
Amanda,71,Female,Merchant,14,68,38,90,50,95
Stephanie,43,Female,None,72,37,95,61,14,65
Mildred,59,Female,Adventurer,34,72,85,66,66,89
Katherine,30,Female,Scavenger,51,12,46,1,74,55
Joan,32,Female,Craftsman,46,8,12,20,41,39
Ashley,83,Female,Mercenary,93,59,86,85,51,7
Judith,56,Female,Adventurer,57,59,58,56,57,4
Rose,71,Female,Craftsman,96,73,5,56,78,10
Janice,63,Female,Adventurer,40,15,79,78,79,29
Kelly,60,Female,Scavenger,80,87,31,43,96,85
Nicole,19,Female,Adventurer,82,27,89,17,99,56
Irene,11,Female,Scavenger,18,82,7,54,38,1
Jane,41,Female,Mercenary,75,85,93,48,2,41
Lori,95,Female,Merchant,59,99,21,98,49,14
Rachel,34,Female,Miner,96,1,38,45,49,31
Theresa,86,Female,Miner,11,15,14,38,53,75
Marilyn,68,Female,Merchant,100,87,27,21,41,44
Andrea,86,Female,Adventurer,52,96,54,45,69,93
Kathryn,86,Female,Mercenary,58,43,78,81,90,75
Louise,37,Female,Farmer,66,9,79,76,26,48
Sara,54,Female,Panhandler,52,29,48,84,29,11
Anne,97,Female,Farmer,9,48,4,3,86,98
Denise,92,Female,Craftsman,34,36,20,82,7,8
Judy,33,Female,Scavenger,71,98,79,2,32,18
Beverly,27,Female,Farmer,9,6,24,28,48,26
Kathy,73,Female,None,58,74,24,64,63,46
Ruby,91,Female,Craftsman,62,59,68,27,100,82
Lois,73,Female,Scavenger,36,49,90,59,90,56
Jacqueline,71,Female,Panhandler,62,52,36,91,36,82
Bonnie,15,Female,Craftsman,18,31,70,54,28,48
Tammy,37,Female,Farmer,46,1,54,57,72,0
Wanda,48,Female,Craftsman,35,36,73,73,38,17
Julia,30,Female,Farmer,4,25,5,92,55,74
Tina,19,Female,None,51,93,28,71,85,78
Phyllis,49,Female,Farmer,24,66,50,79,30,89
Norma,34,Female,None,73,83,59,72,2,31
Paula,64,Female,None,97,2,37,43,66,52
Diana,93,Female,Craftsman,69,3,51,30,43,25
Annie,77,Female,None,36,35,82,34,5,57
Lillian,96,Female,Panhandler,70,56,92,99,24,80
Emily,43,Female,Panhandler,44,54,15,97,65,21
Robin,17,Female,Farmer,23,67,73,65,71,81
Peggy,45,Female,Merchant,93,22,96,18,25,65
Crystal,47,Female,Miner,13,59,74,72,22,86
Christina,85,Female,Panhandler,79,94,31,22,54,44
Rita,67,Female,Mercenary,98,37,6,27,0,86
Dawn,29,Female,None,37,39,11,47,77,94
Connie,77,Female,Adventurer,27,57,0,62,66,99
Florence,75,Female,Mercenary,79,37,0,44,69,9
Tracy,59,Female,Adventurer,3,8,61,27,55,68
Edna,61,Female,Scavenger,6,35,98,60,92,57
Tiffany,69,Female,None,75,39,73,32,69,18
Carmen,28,Female,Scavenger,60,67,3,9,19,67
Rosa,38,Female,Farmer,36,58,68,99,84,79
Cindy,88,Female,Mercenary,38,25,23,45,77,81
Gladys,15,Female,Miner,24,76,33,27,91,16
Grace,69,Female,Panhandler,94,11,12,94,64,52
Wendy,81,Female,Miner,85,76,53,36,78,100
Victoria,39,Female,Merchant,64,3,52,59,72,94
Edith,63,Female,Merchant,25,25,35,63,4,58
Kim,80,Female,Merchant,84,21,98,6,76,3
Sherry,99,Female,Merchant,68,55,78,63,2,66
Sylvia,21,Female,Miner,56,58,3,46,82,44
Josephine,78,Female,Adventurer,51,4,90,67,100,14
Thelma,91,Female,Scavenger,52,2,74,54,76,19
Shannon,12,Female,Scavenger,23,55,82,72,91,32
Sheila,23,Female,Mercenary,60,56,74,14,9,61
Ethel,71,Female,Miner,49,15,31,77,6,85
Ellen,82,Female,Panhandler,10,45,56,62,47,96
Elaine,38,Female,Miner,33,10,18,13,84,66
Marjorie,50,Female,Panhandler,11,7,76,62,33,56
Carrie,78,Female,None,19,82,77,6,8,14
Charlotte,25,Female,Farmer,82,14,46,83,47,34
Monica,35,Female,Merchant,64,71,47,68,20,39
Esther,79,Female,Scavenger,23,57,36,83,34,36
Pauline,36,Female,Miner,0,75,81,28,43,20
Emma,28,Female,Mercenary,33,15,53,49,50,33
Juanita,68,Female,Mercenary,12,75,59,52,44,91
Anita,28,Female,Merchant,1,75,41,80,59,35
Leslie,25,Female,Adventurer,66,57,16,33,83,22
Clara,89,Female,Panhandler,38,16,48,24,17,70
Lucille,20,Female,Craftsman,31,50,80,39,47,11
Jamie,78,Female,Mercenary,58,91,72,89,55,1
Joanne,86,Female,Panhandler,70,44,43,5,67,82
Eleanor,95,Female,Miner,40,16,86,32,48,40
Valerie,17,Female,Mercenary,100,69,0,10,87,29
Danielle,97,Female,Craftsman,9,12,31,43,2,19
Megan,66,Female,Mercenary,4,1,71,94,19,83
Alicia,46,Female,Adventurer,73,25,60,30,86,30
Rhonda,37,Female,Panhandler,54,86,34,53,73,11
Hazel,42,Female,Scavenger,99,12,26,50,31,97
Amber,26,Female,Merchant,87,51,96,3,60,66
Eva,94,Female,Scavenger,7,95,50,35,15,29
Debbie,68,Female,Farmer,48,33,54,81,83,87
April,84,Female,Merchant,96,49,73,59,43,30
Suzanne,89,Female,Scavenger,32,55,84,69,29,51
Michele,13,Female,Mercenary,15,43,69,43,80,93
Gail,56,Female,Craftsman,62,39,87,57,16,19
Bertha,29,Female,Merchant,46,98,75,0,29,60
Darlene,90,Female,Panhandler,8,78,19,89,75,16
Veronica,93,Female,Merchant,25,8,11,13,62,89
Jill,40,Female,Panhandler,27,11,75,10,57,60
Erin,77,Female,Scavenger,67,62,41,78,72,93
Geraldine,84,Female,Miner,62,87,55,22,75,56
Lauren,88,Female,Mercenary,76,65,87,10,5,82
Cathy,42,Female,Panhandler,61,72,34,73,86,48
Joann,87,Female,Panhandler,48,83,59,95,86,57
Lorraine,79,Female,None,8,76,12,60,21,71
Lynn,77,Female,Miner,52,73,43,69,51,63
Sally,42,Female,Craftsman,5,40,14,82,87,45
Regina,32,Female,Panhandler,18,70,76,91,65,4
Erica,16,Female,Miner,13,99,6,25,92,91
Beatrice,95,Female,Mercenary,72,12,99,24,19,65
Dolores,99,Female,Merchant,8,98,21,57,12,66
Bernice,85,Female,None,59,46,28,71,4,97
Audrey,55,Female,Craftsman,88,17,88,26,38,89
Yvonne,61,Female,Miner,35,16,53,57,53,30
June,56,Female,Panhandler,56,27,64,41,80,9
Ana,44,Female,Scavenger,93,42,12,13,38,26
Renee,56,Female,Panhandler,19,92,62,77,6,82
Ida,43,Female,Farmer,88,55,35,4,29,2
Vivian,14,Female,Craftsman,96,48,65,80,8,19
Roberta,68,Female,None,23,30,44,70,39,64
Holly,21,Female,Merchant,49,37,75,17,9,18
Brittany,30,Female,Mercenary,3,33,72,10,42,31
Melanie,65,Female,Mercenary,49,5,95,78,72,29
Loretta,13,Female,Farmer,86,47,6,63,57,43
Yolanda,11,Female,Craftsman,7,24,60,25,44,36
Jeanette,56,Female,Scavenger,86,68,71,67,34,85
Laurie,32,Female,None,40,62,27,79,5,14
Katie,97,Female,Miner,60,90,98,23,78,90
Kristen,49,Female,Adventurer,68,84,51,84,59,26
Vanessa,24,Female,Scavenger,73,25,70,81,86,84
Alma,14,Female,Mercenary,68,65,73,26,29,10
Sue,52,Female,Farmer,57,24,37,83,9,19
Elsie,52,Female,Merchant,42,26,92,55,32,59
Beth,97,Female,Miner,65,92,42,66,64,25
Vicki,42,Female,Farmer,96,53,88,22,4,23
Carla,87,Female,Craftsman,14,84,61,75,60,22
Tara,88,Female,None,87,23,14,32,13,95
Rosemary,83,Female,Scavenger,20,37,42,68,89,34
Jeanne,97,Female,Farmer,65,4,57,38,45,3
Eileen,82,Female,Panhandler,44,34,27,39,53,85
Gertrude,27,Female,Craftsman,70,8,6,76,86,72
Lucy,67,Female,Scavenger,49,27,62,90,17,84
Tonya,39,Female,Mercenary,52,52,90,3,70,42
Stacy,31,Female,Scavenger,42,69,51,73,80,56
Terri,66,Female,Panhandler,88,34,28,28,16,49
Stacey,44,Female,None,16,23,64,41,49,68
Ella,11,Female,None,50,81,7,69,41,87
Samantha,21,Female,Adventurer,15,77,70,55,77,75
Wilma,96,Female,Merchant,60,46,67,30,44,18
Marion,14,Female,None,8,78,70,83,39,19
Dana,67,Female,Adventurer,57,14,91,70,48,49
Gina,71,Female,Craftsman,87,14,22,79,44,89
Jessie,31,Female,Panhandler,35,51,55,67,74,23
Kristin,100,Female,Craftsman,85,15,25,81,94,51
Natalie,77,Female,Adventurer,77,41,94,8,48,97
Agnes,100,Female,Merchant,26,30,19,30,75,15
Vera,43,Female,Scavenger,17,26,87,77,98,36
Willie,49,Female,Farmer,73,65,90,100,10,23
Charlene,70,Female,Mercenary,23,95,71,87,43,35
Bessie,95,Female,Merchant,83,75,49,45,39,36
Annette,44,Female,Miner,39,35,96,29,98,6
Delores,92,Female,Merchant,15,8,60,96,11,65
Melinda,81,Female,Mercenary,15,99,2,21,19,44
Pearl,89,Female,Miner,14,69,73,47,82,62
Arlene,70,Female,Merchant,41,55,92,40,52,28
Maureen,96,Female,Scavenger,89,63,79,95,43,12
Colleen,76,Female,Mercenary,18,35,97,37,74,73
Allison,41,Female,Scavenger,0,20,54,48,1,23
Joy,26,Female,Craftsman,71,32,49,22,84,99
Tamara,47,Female,Craftsman,44,18,84,18,31,13
Georgia,58,Female,Farmer,32,65,34,25,87,48
Constance,25,Female,Craftsman,70,37,43,43,46,9
Lillie,30,Female,Panhandler,45,48,92,73,92,91
Claudia,77,Female,Merchant,89,82,44,38,8,93
Jackie,93,Female,None,58,34,21,59,34,71
Marcia,99,Female,None,70,16,62,50,95,39
Tanya,96,Female,Mercenary,7,41,41,3,50,93
Nellie,84,Female,Merchant,86,67,93,8,54,89
Marlene,51,Female,Miner,100,31,26,65,30,79
Minnie,60,Female,Craftsman,62,75,28,35,98,10
Heidi,51,Female,Mercenary,69,80,67,16,12,30
Glenda,44,Female,Mercenary,7,1,73,81,28,69
Lydia,50,Female,Panhandler,36,39,59,19,74,98
Courtney,16,Female,Craftsman,43,56,56,91,3,61
Viola,50,Female,Mercenary,91,74,65,85,7,76
Marian,14,Female,None,5,14,95,15,45,24
Caroline,17,Female,Farmer,71,27,77,91,75,33
Stella,74,Female,Craftsman,4,92,82,82,51,89
Dora,96,Female,None,9,30,46,71,96,71
Jo,88,Female,Merchant,32,13,9,28,3,29
Mattie,88,Female,Panhandler,53,4,35,25,75,80
Terry,39,Female,Merchant,99,1,58,55,90,41
Maxine,92,Female,Merchant,6,4,95,17,67,100
Irma,52,Female,Farmer,93,11,56,72,90,21
Mabel,55,Female,Adventurer,86,4,37,77,52,54
Marsha,29,Female,Adventurer,70,92,39,34,47,20
Myrtle,86,Female,Mercenary,7,29,13,33,50,42
Christy,53,Female,Farmer,39,76,10,5,46,25
Deanna,43,Female,Adventurer,13,16,53,42,30,75
Patsy,79,Female,Craftsman,88,90,32,58,96,96
Hilda,78,Female,Adventurer,35,43,18,70,53,5
Gwendolyn,80,Female,None,36,51,41,99,86,59
Jennie,92,Female,Scavenger,41,60,65,65,43,10
Vickie,24,Female,Scavenger,29,54,17,72,3,97
Nora,61,Female,Merchant,52,49,76,85,29,7
Nina,44,Female,Farmer,12,90,96,92,18,11
Margie,36,Female,Panhandler,66,43,19,6,24,1
Cassandra,75,Female,Farmer,66,99,33,82,97,46
Leah,61,Female,Farmer,72,66,53,83,6,51
Penny,37,Female,Mercenary,42,29,92,69,64,6
Kay,48,Female,Scavenger,19,46,11,58,38,56
Priscilla,16,Female,Merchant,45,35,81,3,84,40
Naomi,82,Female,None,100,27,48,19,86,63
Carole,45,Female,Panhandler,19,57,48,69,97,31
Brandy,28,Female,Miner,50,65,31,39,4,46
Olga,32,Female,Merchant,20,88,14,90,60,93
Billie,91,Female,Mercenary,48,41,7,39,29,51
Dianne,89,Female,Miner,24,76,32,8,69,96
Tracey,57,Female,Merchant,26,9,65,30,76,95
Leona,60,Female,Adventurer,34,53,3,5,39,46
Jenny,39,Female,Scavenger,38,16,38,81,60,94
Felicia,92,Female,Craftsman,76,21,36,29,89,40
Sonia,78,Female,Merchant,82,82,76,43,32,21
Miriam,92,Female,Merchant,7,8,53,86,85,29
Velma,31,Female,Miner,90,28,17,6,51,43
Becky,31,Female,Miner,6,52,33,30,5,51
Bobbie,30,Female,Scavenger,76,48,98,43,30,28
Violet,11,Female,Scavenger,83,52,92,39,82,28
Kristina,68,Female,Scavenger,89,85,81,72,44,83
Toni,18,Female,Farmer,30,24,26,94,61,48
Lena,45,Female,Farmer,76,48,9,8,82,72
Misty,46,Female,Craftsman,78,47,85,73,87,27
Mae,43,Female,Craftsman,11,90,69,40,93,86
Shelly,62,Female,Adventurer,66,35,66,20,10,75
Daisy,42,Female,Scavenger,49,89,86,20,5,59
Ramona,72,Female,Panhandler,93,83,61,19,83,38
Sherri,90,Female,Merchant,52,40,40,52,0,34
Erika,14,Female,Craftsman,1,43,31,33,3,72
Katrina,23,Female,Panhandler,88,84,95,56,69,61
Claire,38,Female,None,20,69,25,5,58,90
Lindsey,30,Female,Mercenary,42,88,20,99,72,72
Lindsay,77,Female,Mercenary,96,89,34,85,63,74
Geneva,20,Female,Miner,39,38,85,49,28,78
Belinda,55,Female,Adventurer,88,91,19,66,99,74
Guadalupe,64,Female,Adventurer,98,31,48,57,20,7
Sabrina,39,Female,Panhandler,28,67,68,42,17,24
Isabel,20,Female,Mercenary,22,24,80,36,7,27
Marguerite,16,Female,Miner,91,100,22,74,55,7
Hattie,12,Female,Mercenary,75,86,39,62,4,34
Harriet,78,Female,Miner,44,65,28,27,47,93
Molly,98,Female,Miner,42,43,44,49,61,100
Cecilia,38,Female,None,8,51,57,96,43,92
Kristi,72,Female,None,85,90,57,60,83,93
Brandi,95,Female,Farmer,6,81,71,77,9,22
Blanche,26,Female,Miner,55,87,97,20,30,40
Sandy,52,Female,Miner,41,46,70,83,86,75
Rosie,97,Female,None,10,90,8,52,33,7
Iris,77,Female,Adventurer,22,51,2,40,98,76
Natasha,56,Female,Farmer,33,60,81,32,51,49
Eunice,100,Female,Scavenger,2,39,75,88,78,29
Joanna,55,Female,Mercenary,7,87,90,27,96,12
Angie,32,Female,Panhandler,20,32,61,56,43,7
Inez,93,Female,None,24,77,1,70,12,25
Lynda,72,Female,Mercenary,38,82,93,51,14,61
Madeline,65,Female,Miner,59,11,98,40,83,50
Amelia,91,Female,None,69,55,66,79,42,94
Alberta,10,Female,Mercenary,49,64,54,54,13,43
Genevieve,81,Female,Adventurer,3,44,18,21,44,55
Cora,70,Female,Panhandler,48,39,56,73,32,4
Faye,39,Female,Merchant,33,84,69,26,81,35
Margarita,61,Female,Craftsman,73,78,50,99,64,39
Ada,65,Female,None,55,40,78,34,14,36
Sheryl,56,Female,Scavenger,25,44,12,21,35,63
Maggie,52,Female,Craftsman,93,11,68,92,40,57
Kristine,36,Female,None,63,13,89,26,86,74
Monique,91,Female,Miner,99,77,79,17,14,71
Fannie,55,Female,Adventurer,72,54,4,14,99,21
Maryann,10,Female,Adventurer,99,15,30,66,32,20
Opal,73,Female,Panhandler,80,9,83,26,97,86
Alison,68,Female,Merchant,87,39,82,57,49,58
Yvette,46,Female,Panhandler,62,4,14,87,10,19
Melody,41,Female,Merchant,91,76,92,52,86,1
Luz,68,Female,Merchant,7,100,83,100,11,52
Susie,99,Female,Panhandler,80,55,71,60,88,100
Olivia,48,Female,Adventurer,30,24,62,50,50,81
Flora,43,Female,Merchant,95,45,31,44,63,94
Shelley,60,Female,Adventurer,86,69,96,81,3,28
Kristy,29,Female,Craftsman,85,18,64,20,3,93
Mamie,59,Female,Scavenger,74,1,15,4,86,91
Lula,76,Female,Craftsman,85,24,4,94,92,84
Lola,22,Female,Miner,84,18,5,58,23,34
Jodi,43,Female,Merchant,53,71,24,55,82,46
Beulah,54,Female,Merchant,6,50,49,32,91,15
Antoinette,83,Female,Mercenary,33,62,92,58,11,71
Candice,56,Female,None,72,53,64,2,86,16
Juana,30,Female,Mercenary,17,88,11,71,98,29
Jeannette,54,Female,Craftsman,93,60,91,46,11,19
Pam,81,Female,Miner,55,78,16,89,46,60
Kelli,87,Female,Mercenary,41,23,63,58,5,15
Hannah,54,Female,None,49,82,62,11,57,66
Whitney,55,Female,Merchant,96,42,43,80,86,20
Bridget,93,Female,Scavenger,89,48,10,63,9,7
Karla,53,Female,Mercenary,71,19,45,58,69,32
Celia,30,Female,None,61,16,91,47,33,67
Latoya,70,Female,Mercenary,74,96,5,27,14,9
Patty,98,Female,Panhandler,94,10,33,32,32,1
Shelia,51,Female,Craftsman,17,99,24,73,57,20
Gayle,85,Female,Miner,15,44,43,93,67,95
Della,99,Female,Miner,29,52,4,76,78,86
Verna,18,Female,Merchant,73,53,98,7,89,47
Vicky,13,Female,Farmer,3,4,74,16,62,44
Lynne,20,Female,Adventurer,99,36,55,53,48,9
Sheri,40,Female,Scavenger,10,16,46,7,91,84
Marianne,21,Female,Craftsman,87,51,49,100,84,13
Kara,25,Female,Craftsman,75,26,18,64,72,24
Jacquelyn,59,Female,Panhandler,47,42,16,35,7,42
Erma,40,Female,Adventurer,98,99,5,24,7,55
Blanca,70,Female,Miner,67,81,24,46,97,35
Myra,52,Female,Farmer,53,90,6,82,81,63
Leticia,42,Female,None,98,31,70,34,83,86
Pat,31,Female,Mercenary,99,29,20,8,94,62
Krista,64,Female,Adventurer,61,83,92,21,58,7
Roxanne,54,Female,Miner,95,83,98,42,92,79
Angelica,58,Female,Farmer,9,19,45,31,57,30
Johnnie,84,Female,Craftsman,8,72,14,13,96,77
Robyn,38,Female,Miner,55,40,82,51,59,14
Francis,17,Female,Adventurer,69,46,57,67,84,26
Adrienne,68,Female,Craftsman,17,88,95,57,38,35
Rosalie,93,Female,Adventurer,82,32,88,58,40,36
Alexandra,88,Female,Scavenger,21,96,10,81,13,100
Brooke,38,Female,Panhandler,86,55,43,89,39,100
Bethany,41,Female,Craftsman,19,38,1,11,86,78
Sadie,68,Female,None,28,33,99,5,3,86
Bernadette,35,Female,Mercenary,91,67,73,63,99,10
Traci,16,Female,Merchant,92,95,67,39,78,85
Jody,50,Female,Farmer,87,35,20,57,58,80
Kendra,29,Female,Merchant,53,73,94,40,4,73
Jasmine,41,Female,Miner,50,92,82,31,3,7
Nichole,79,Female,Craftsman,67,43,13,31,80,63
Chelsea,67,Female,Mercenary,37,22,59,8,75,73
Mable,83,Female,Farmer,62,49,34,25,85,5
Ernestine,65,Female,Scavenger,85,62,38,37,43,64
Muriel,62,Female,Scavenger,74,37,51,51,75,5
Marcella,62,Female,Farmer,29,87,30,22,73,67
Elena,91,Female,Miner,29,85,28,95,24,88
Krystal,45,Female,None,94,51,32,17,7,66
Angelina,65,Female,Miner,47,66,80,46,23,24
Nadine,96,Female,Craftsman,67,0,70,20,34,63
Kari,90,Female,Merchant,37,9,30,74,47,16
Estelle,72,Female,Farmer,95,63,80,55,32,96
Dianna,44,Female,Mercenary,41,89,56,58,90,84
Paulette,65,Female,Mercenary,79,51,95,81,19,6
Lora,79,Female,Mercenary,42,31,29,14,5,95
Mona,75,Female,Adventurer,6,6,29,4,84,79
Doreen,70,Female,None,83,1,62,68,17,64
Rosemarie,76,Female,None,86,66,90,28,79,71
Angel,75,Female,Mercenary,76,13,90,18,91,47
Rachael,89,Female,Merchant,78,67,96,4,21,61
Desiree,80,Female,None,57,54,53,84,4,56
Antonia,59,Female,Scavenger,17,71,81,15,77,7
Hope,40,Female,Adventurer,64,74,16,30,28,65
Ginger,19,Female,Panhandler,67,98,9,64,40,32
Janis,31,Female,Panhandler,59,70,8,37,8,63
Betsy,71,Female,Farmer,33,46,31,5,36,98
Christie,36,Female,Craftsman,46,13,92,69,35,51
Freda,77,Female,Panhandler,5,62,62,85,64,71
Mercedes,37,Female,Adventurer,1,4,16,47,36,20
Meredith,64,Female,Panhandler,99,56,23,62,7,70
Lynette,63,Female,Craftsman,78,40,42,8,42,84
Teri,63,Female,Farmer,68,48,23,61,75,47
Cristina,48,Female,Craftsman,98,19,40,13,52,48
Eula,29,Female,Scavenger,55,38,79,57,51,82
Leigh,44,Female,Miner,17,32,5,33,36,86
Meghan,10,Female,Mercenary,86,10,13,69,98,72
Sophia,94,Female,Panhandler,78,34,1,87,32,5
Eloise,10,Female,Farmer,44,90,82,3,61,25
Rochelle,14,Female,Adventurer,48,9,3,53,49,5
Cecelia,77,Female,Merchant,24,26,5,60,23,27
Raquel,21,Female,Panhandler,48,29,54,29,66,7
Henrietta,59,Female,Mercenary,69,59,70,44,2,48
Alyssa,89,Female,Craftsman,24,94,81,49,20,6
Jana,64,Female,None,32,0,33,6,43,80
Kelley,75,Female,Scavenger,48,48,0,91,6,62
Gwen,78,Female,Panhandler,22,21,11,34,82,75
Kerry,19,Female,Mercenary,78,36,82,76,26,77
Jenna,88,Female,Mercenary,60,71,6,29,24,89
Tricia,34,Female,Mercenary,14,97,19,8,70,75
Laverne,22,Female,Miner,30,39,88,54,14,36
Olive,58,Female,Mercenary,37,45,55,94,29,5
Alexis,55,Female,None,68,51,48,29,8,44
Tasha,39,Female,Mercenary,37,83,6,7,49,73
Silvia,20,Female,Merchant,95,85,90,51,8,39
Elvira,51,Female,Farmer,86,41,41,99,98,61
Casey,92,Female,Mercenary,10,46,3,41,11,51
Delia,16,Female,Craftsman,85,64,97,91,50,71
Gretchen,99,Female,Scavenger,94,69,53,67,83,47
Sophie,88,Female,Farmer,74,62,22,92,8,72
Kate,53,Female,Scavenger,75,15,20,66,56,26
Patti,40,Female,Panhandler,50,65,98,82,19,7
Lorena,91,Female,Merchant,48,93,44,81,61,40
Kellie,24,Female,Mercenary,4,43,23,89,43,33
Kayla,69,Female,Craftsman,93,6,73,43,23,82
Sonja,52,Female,Miner,23,33,89,65,69,15
Lila,87,Female,Scavenger,3,68,72,19,45,45
Lana,34,Female,Panhandler,98,66,79,28,9,15
Darla,83,Female,Farmer,66,15,1,76,52,10
May,39,Female,Mercenary,72,7,14,36,100,100
Mindy,64,Female,Farmer,30,29,48,43,32,32
Essie,36,Female,Mercenary,2,79,39,90,44,85
Mandy,47,Female,Craftsman,13,95,48,17,54,88
Lorene,32,Female,Panhandler,96,63,32,84,85,41
Elsa,23,Female,None,8,51,54,64,97,2
Josefina,50,Female,Farmer,88,14,5,63,20,95
Jeannie,45,Female,Merchant,61,66,91,42,5,1
Miranda,25,Female,Merchant,81,4,68,37,56,100
Dixie,15,Female,Adventurer,57,77,26,35,3,55
Lucia,94,Female,Craftsman,52,81,82,31,59,67
Marta,26,Female,Merchant,62,53,13,97,72,86
Faith,96,Female,Merchant,26,42,65,62,23,91
Lela,94,Female,Panhandler,25,12,34,67,91,23
Johanna,69,Female,None,50,44,24,41,43,73
Camille,26,Female,Farmer,9,76,1,68,65,95
Tami,11,Female,Adventurer,76,32,85,51,55,47
Shawna,71,Female,None,18,2,51,13,94,100
Elisa,32,Female,Scavenger,46,70,100,72,67,17
Ebony,13,Female,Merchant,78,18,11,71,21,62
Melba,91,Female,Craftsman,94,45,87,65,92,91
Ora,94,Female,Mercenary,44,64,15,94,54,49
Nettie,47,Female,Panhandler,46,9,10,6,60,50
Tabitha,67,Female,Adventurer,28,30,56,14,48,25
Ollie,74,Female,Scavenger,8,64,43,35,96,0
Jaime,48,Female,Craftsman,89,43,80,57,40,16
Winifred,80,Female,Mercenary,15,9,40,90,43,80
Kristie,19,Female,Craftsman,21,93,42,12,81,25
Marina,56,Female,None,55,39,4,67,91,48
Alisha,95,Female,None,53,48,26,25,41,24
Aimee,92,Female,Adventurer,24,51,39,46,7,18
Rena,64,Female,Adventurer,45,54,71,74,15,64
Myrna,48,Female,Farmer,47,76,98,82,64,67
Marla,30,Female,Farmer,0,75,51,32,74,98
Tammie,22,Female,Adventurer,87,79,69,39,69,71
Sonya,72,Female,Mercenary,53,70,74,20,76,22
Bonita,22,Female,Craftsman,36,30,89,28,2,4
Patrice,28,Female,Panhandler,21,11,21,28,27,37
Ronda,58,Female,Craftsman,20,60,100,32,86,44
Sherrie,12,Female,Merchant,21,9,5,86,92,70
Addie,11,Female,Panhandler,83,68,68,1,65,62
Francine,64,Female,Farmer,28,79,50,90,38,63
Deloris,75,Female,Mercenary,85,18,72,40,66,19
Stacie,75,Female,Miner,27,9,36,16,35,27
Adriana,78,Female,Miner,95,81,100,1,40,94
Cheri,21,Female,Scavenger,76,66,70,16,18,58
Shelby,22,Female,Miner,81,65,4,90,61,92
Abigail,57,Female,Farmer,4,81,61,13,42,54
Celeste,30,Female,Adventurer,20,46,84,63,49,53
Jan,85,Female,None,33,80,93,25,90,76
